DATE,WFRBSB50215
1989-07-01,3.5
1989-10-01,3.4
1990-01-01,3.5
1990-04-01,3.3
1990-07-01,3.5
1990-10-01,3.5
1991-01-01,3.5
1991-04-01,3.5
1991-07-01,3.7
1991-10-01,3.7
1992-01-01,3.7
1992-04-01,3.8
1992-07-01,4.0
1992-10-01,4.0
1993-01-01,3.7
1993-04-01,3.8
1993-07-01,3.7
1993-10-01,3.7
1994-01-01,3.5
1994-04-01,3.4
1994-07-01,3.5
1994-10-01,3.5
1995-01-01,3.5
1995-04-01,3.6
1995-07-01,3.6
1995-10-01,3.5
1996-01-01,3.5
1996-04-01,3.5
1996-07-01,3.5
1996-10-01,3.4
1997-01-01,3.4
1997-04-01,3.4
1997-07-01,3.3
1997-10-01,3.3
1998-01-01,3.3
1998-04-01,3.2
1998-07-01,3.4
1998-10-01,3.3
1999-01-01,3.3
1999-04-01,3.2
1999-07-01,3.2
1999-10-01,3.2
2000-01-01,3.2
2000-04-01,3.2
2000-07-01,3.2
2000-10-01,3.1
2001-01-01,3.2
2001-04-01,3.1
2001-07-01,3.1
2001-10-01,3.0
2002-01-01,3.0
2002-04-01,2.9
2002-07-01,3.0
2002-10-01,2.9
2003-01-01,2.8
2003-04-01,2.6
2003-07-01,2.6
2003-10-01,2.6
2004-01-01,2.5
2004-04-01,2.5
2004-07-01,2.4
2004-10-01,2.4
2005-01-01,2.4
2005-04-01,2.4
2005-07-01,2.4
2005-10-01,2.5
2006-01-01,2.4
2006-04-01,2.4
2006-07-01,2.3
2006-10-01,2.2
2007-01-01,2.1
2007-04-01,2.0
2007-07-01,1.9
2007-10-01,1.7
2008-01-01,1.4
2008-04-01,1.5
2008-07-01,1.2
2008-10-01,1.0
2009-01-01,0.7
2009-04-01,0.7
2009-07-01,0.7
2009-10-01,0.6
2010-01-01,0.5
2010-04-01,0.5
2010-07-01,0.5
2010-10-01,0.4
2011-01-01,0.4
2011-04-01,0.4
2011-07-01,0.4
2011-10-01,0.4
2012-01-01,0.4
2012-04-01,0.5
2012-07-01,0.6
2012-10-01,0.7
2013-01-01,0.6
2013-04-01,0.8
2013-07-01,0.9
2013-10-01,0.8
2014-01-01,0.9
2014-04-01,1.0
2014-07-01,1.0
2014-10-01,1.0
2015-01-01,1.0
2015-04-01,1.1
2015-07-01,1.1
2015-10-01,1.1
2016-01-01,1.2
2016-04-01,1.2
2016-07-01,1.3
2016-10-01,1.3
2017-01-01,1.3
2017-04-01,1.4
2017-07-01,1.4
2017-10-01,1.4
2018-01-01,1.5
2018-04-01,1.6
2018-07-01,1.6
2018-10-01,1.6
2019-01-01,1.6
2019-04-01,1.6
2019-07-01,1.7
2019-10-01,1.8
2020-01-01,1.9
2020-04-01,2.0
2020-07-01,2.1
2020-10-01,2.2
2021-01-01,2.3
2021-04-01,2.3
2021-07-01,2.4
2021-10-01,2.4
2022-01-01,2.6
2022-04-01,2.7
2022-07-01,2.7
2022-10-01,2.6
2023-01-01,2.6
2023-04-01,2.6
2023-07-01,2.6
